calibration_ratio,replication_id,outcome,liquidity_effect,market_effect,channel_difference
0.5,primary-0129,exit_rate,0.37,0.263333333333,0.106666666667
0.5,primary-0129,rmst_days,2.81,2.48,0.33
0.5,primary-0130,exit_rate,0.291666666667,0.03,0.261666666667
0.5,primary-0130,rmst_days,1.24666666667,0.131666666667,1.115
0.5,primary-0131,exit_rate,0.358333333333,0.275,0.0833333333333
0.5,primary-0131,rmst_days,3.305,3.93833333333,-0.633333333333
0.5,primary-0132,exit_rate,0.265,0.03,0.235
0.5,primary-0132,rmst_days,1.43166666667,0.0916666666667,1.34
0.5,primary-0133,exit_rate,0.356666666667,0.15,0.206666666667
0.5,primary-0133,rmst_days,1.745,0.803333333333,0.941666666667
0.5,primary-0134,exit_rate,0.32,0.341666666667,-0.0216666666667
0.5,primary-0134,rmst_days,3.28333333333,4.04,-0.756666666667
0.5,primary-0135,exit_rate,0.363333333333,0.271666666667,0.0916666666667
0.5,primary-0135,rmst_days,3.62666666667,4.68333333333,-1.05666666667
0.5,primary-0136,exit_rate,0.265,0.03,0.235
0.5,primary-0136,rmst_days,1.37666666667,0.0716666666667,1.305
0.5,primary-0137,exit_rate,0.285,0.38,-0.095
0.5,primary-0137,rmst_days,3.63666666667,7.585,-3.94833333333
0.5,primary-0138,exit_rate,0.318333333333,0.345,-0.0266666666667
0.5,primary-0138,rmst_days,3.44,5.26166666667,-1.82166666667
0.5,primary-0139,exit_rate,0.315,0.35,-0.035
0.5,primary-0139,rmst_days,3.08833333333,4.59833333333,-1.51
0.5,primary-0140,exit_rate,0.371666666667,0.145,0.226666666667
0.5,primary-0140,rmst_days,1.94,0.365,1.575
0.5,primary-0141,exit_rate,0.366666666667,0.141666666667,0.225
0.5,primary-0141,rmst_days,1.92,0.448333333333,1.47166666667
0.5,primary-0142,exit_rate,0.283333333333,0.0283333333333,0.255
0.5,primary-0142,rmst_days,1.56666666667,0.101666666667,1.465
0.5,primary-0143,exit_rate,0.348333333333,0.258333333333,0.09
0.5,primary-0143,rmst_days,3.37833333333,4.84,-1.46166666667
0.5,primary-0144,exit_rate,0.325,0.338333333333,-0.0133333333333
0.5,primary-0144,rmst_days,3.31833333333,3.945,-0.626666666667
0.5,primary-0145,exit_rate,0.356666666667,0.305,0.0516666666667
0.5,primary-0145,rmst_days,3.43666666667,4.58166666667,-1.145
0.5,primary-0146,exit_rate,0.31,0.02,0.29
0.5,primary-0146,rmst_days,1.99333333333,0.108333333333,1.885
0.5,primary-0147,exit_rate,0.315,0.345,-0.03
0.5,primary-0147,rmst_days,3.04,3.57833333333,-0.538333333333
