calibration_ratio,liquidity_intensity,market_intensity,day,mean_survival,sd_survival,runs
1,1,2,29,0.32095,0.337173586804,200
1,1,2,30,0.27835,0.319968241986,200
1,2,0,1,1,0,200
1,2,0,2,1,0,200
1,2,0,3,1,0,200
1,2,0,4,1,0,200
1,2,0,5,1,0,200
1,2,0,6,1,0,200
1,2,0,7,1,0,200
1,2,0,8,1,0,200
1,2,0,9,0.99945,0.00228552359219,200
1,2,0,10,0.99525,0.00708438015715,200
1,2,0,11,0.9832,0.0132148842533,200
1,2,0,12,0.96125,0.0213592741676,200
1,2,0,13,0.92855,0.0281667236577,200
1,2,0,14,0.8843,0.0322600924958,200
1,2,0,15,0.8305,0.0398331949144,200
1,2,0,16,0.7666,0.0448945162346,200
1,2,0,17,0.69975,0.0455390660056,200
1,2,0,18,0.63105,0.0497874628525,200
1,2,0,19,0.55815,0.0489187358133,200
1,2,0,20,0.4886,0.0492969669937,200
1,2,0,21,0.4226,0.0498867058151,200
1,2,0,22,0.35865,0.0478552833102,200
1,2,0,23,0.30385,0.0455196406889,200
1,2,0,24,0.25275,0.0432816822698,200
1,2,0,25,0.20625,0.0415217748771,200
1,2,0,26,0.1681,0.0363869489,200
1,2,0,27,0.13645,0.0342309258041,200
1,2,0,28,0.10715,0.0315969831904,200
1,2,0,29,0.08245,0.026533329756,200
1,2,0,30,0.06415,0.0238563013809,200
1,2,1,1,1,0,200
1,2,1,2,1,0,200
1,2,1,3,1,0,200
1,2,1,4,1,0,200
1,2,1,5,1,0,200
1,2,1,6,1,0,200
1,2,1,7,1,0,200
1,2,1,8,1,0,200
1,2,1,9,0.99945,0.00228552359219,200
1,2,1,10,0.99515,0.00715776978826,200
1,2,1,11,0.98275,0.0135963895592,200
1,2,1,12,0.95625,0.0425144078445,200
1,2,1,13,0.9187,0.0585014710119,200
1,2,1,14,0.8681,0.0749095937526,200
1,2,1,15,0.8051,0.092584281853,200
1,2,1,16,0.72545,0.11479410233,200
1,2,1,17,0.6456,0.126079818381,200
1,2,1,18,0.5635,0.134522232942,200
1,2,1,19,0.47315,0.140271013707,200
1,2,1,20,0.39195,0.144168722693,200
1,2,1,21,0.31835,0.13809827358,200
1,2,1,22,0.2491,0.126888508019,200
1,2,1,23,0.1931,0.113723591556,200
1,2,1,24,0.1469,0.100006984681,200
1,2,1,25,0.1086,0.0851958429637,200
1,2,1,26,0.0781,0.0687752877203,200
1,2,1,27,0.05475,0.0568515434263,200
1,2,1,28,0.0368,0.0434071526885,200
1,2,1,29,0.0248,0.0331580651793,200
1,2,1,30,0.0161,0.024715262918,200
1,2,2,1,1,0,200
1,2,2,2,1,0,200
1,2,2,3,1,0,200
1,2,2,4,1,0,200
1,2,2,5,0.99765,0.0166240577622,200
1,2,2,6,0.9964,0.0254416269509,200
1,2,2,7,0.98955,0.0517172200942,200
1,2,2,8,0.97775,0.0983146292861,200
1,2,2,9,0.9662,0.123831462705,200
1,2,2,10,0.94275,0.161092181545,200
1,2,2,11,0.8978,0.205309326622,200
1,2,2,12,0.83,0.256470045857,200
1,2,2,13,0.75475,0.280557480741,200
1,2,2,14,0.6651,0.302488822004,200
1,2,2,15,0.5675,0.316824301768,200
1,2,2,16,0.47965,0.307653426201,200
1,2,2,17,0.4092,0.291065207082,200
1,2,2,18,0.33825,0.270485209843,200
1,2,2,19,0.27325,0.242671350641,200
1,2,2,20,0.21505,0.210555612201,200
1,2,2,21,0.1658,0.176094880775,200
1,2,2,22,0.12285,0.145195683242,200
1,2,2,23,0.08935,0.117315352618,200
1,2,2,24,0.06615,0.0947871325788,200
1,2,2,25,0.04615,0.0738236218001,200
1,2,2,26,0.0304,0.0543655965704,200
1,2,2,27,0.0202,0.0411023969517,200
1,2,2,28,0.0116,0.026833564821,200
1,2,2,29,0.0076,0.0206000439088,200
1,2,2,30,0.00465,0.0150669360792,200
2,0,0,1,1,0,200
2,0,0,2,1,0,200
2,0,0,3,1,0,200
2,0,0,4,1,0,200
2,0,0,5,1,0,200
2,0,0,6,1,0,200
2,0,0,7,1,0,200
2,0,0,8,1,0,200
2,0,0,9,1,0,200
2,0,0,10,1,0,200
2,0,0,11,1,0,200
2,0,0,12,1,0,200
2,0,0,13,1,0,200
2,0,0,14,1,0,200
2,0,0,15,1,0,200
2,0,0,16,1,0,200
2,0,0,17,1,0,200
2,0,0,18,1,0,200
2,0,0,19,1,0,200
2,0,0,20,1,0,200
2,0,0,21,1,0,200
2,0,0,22,1,0,200
2,0,0,23,1,0,200
2,0,0,24,1,0,200
2,0,0,25,1,0,200
