outcome,family,estimand_id,calibration_ratio,price_impact_lambda,transition,conditioning_intensity,funding_intensity,market_intensity,blocks,estimate,block_se,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper
worst_10pct_mean_equity_loss,channel_interaction,interaction_funding_1_market_1,1,0.15,,,1,1,200,-1.27721191265e-05,1.65614799712e-06,-1.60667609175e-05,-9.71451405005e-06,-1.69266928262e-05,-8.6175454267e-06
worst_10pct_mean_equity_loss,channel_interaction,interaction_funding_1_market_2,1,0.15,,,1,2,200,-2.5913583044e-05,3.35821723189e-06,-3.25969015626e-05,-1.97151924002e-05,-3.43379273743e-05,-1.74892387136e-05
worst_10pct_mean_equity_loss,channel_interaction,interaction_funding_2_market_1,1,0.15,,,2,1,200,-0.000328849455606,2.24840834085e-05,-0.000374109233982,-0.000286260066662,-0.000385252495524,-0.000272446415687
worst_10pct_mean_equity_loss,channel_interaction,interaction_funding_2_market_2,1,0.15,,,2,2,200,-0.00066413286863,4.54464433841e-05,-0.000755529133679,-0.000578381345979,-0.000778138741752,-0.000550126995507
worst_10pct_mean_equity_loss,channel_interaction,interaction_funding_1_market_1,2,0,,,1,1,200,-3.31037352191e-05,3.59094031012e-06,-4.03586430688e-05,-2.64212515468e-05,-4.21118831599e-05,-2.40955872784e-05
worst_10pct_mean_equity_loss,channel_interaction,interaction_funding_1_market_2,2,0,,,1,2,200,-6.68055387321e-05,7.2355972556e-06,-8.14344982402e-05,-5.33444277666e-05,-8.49565868948e-05,-4.86544905695e-05
worst_10pct_mean_equity_loss,channel_interaction,interaction_funding_2_market_1,2,0,,,2,1,200,-0.000417565088693,2.5437467589e-05,-0.000468807636772,-0.000368684561669,-0.000481376918323,-0.000353753259063
worst_10pct_mean_equity_loss,channel_interaction,interaction_funding_2_market_2,2,0,,,2,2,200,-0.000841488516088,5.11572464847e-05,-0.000944469693702,-0.000743289835124,-0.000969820374815,-0.000713156657361
worst_10pct_mean_equity_loss,channel_interaction,interaction_funding_1_market_1,2,0.15,,,1,1,200,-4.32791490017e-05,4.1240610034e-06,-5.16654189336e-05,-3.54440842236e-05,-5.36246709059e-05,-3.29336270974e-05
worst_10pct_mean_equity_loss,channel_interaction,interaction_funding_1_market_2,2,0.15,,,1,2,200,-8.71981907972e-05,8.3130695122e-06,-0.000104156124737,-7.14115596881e-05,-0.000108052160382,-6.63442212125e-05
worst_10pct_mean_equity_loss,channel_interaction,interaction_funding_2_market_1,2,0.15,,,2,1,200,-0.00051859339611,3.03320828474e-05,-0.000579104819002,-0.000459434444496,-0.000594683741825,-0.000442503050394
