outcome,calibration_ratio,price_impact_lambda,funding_intensity,market_intensity,blocks,estimate,block_se,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper
worst_10pct_mean_equity_loss,1,0.15,0,2,200,0.180667718172,0.00690949381153,0.167285759216,0.194509946237,0.16354374363,0.197791692713
worst_10pct_mean_equity_loss,1,0.15,1,0,200,0.000848728334599,1.2535214814e-05,0.000824896967234,0.000872997441701,0.000817661992374,0.000879794676824
worst_10pct_mean_equity_loss,1,0.15,1,1,200,0.0911577757508,0.00351469508755,0.0843805528107,0.0982229630529,0.0824472173737,0.0998683341279
worst_10pct_mean_equity_loss,1,0.15,1,2,200,0.181490532923,0.00690827385565,0.168127369501,0.195334332151,0.164369581829,0.198611484017
worst_10pct_mean_equity_loss,1,0.15,2,0,200,0.00849983277753,5.24690207665e-05,0.00839577901427,0.0086042368113,0.00836979746664,0.00862986808842
worst_10pct_mean_equity_loss,1,0.15,2,1,200,0.0984928028573,0.00350303055071,0.0917099805692,0.105476146328,0.089811152999,0.107174452716
worst_10pct_mean_equity_loss,1,0.15,2,2,200,0.188503418081,0.00688453548362,0.175242568225,0.202246550275,0.171441298399,0.205565537762
worst_10pct_mean_equity_loss,2,0,0,0,200,3.56381590905e-17,2.52161230755e-18,3.07531777821e-17,4.07451850038e-17,2.93887830672e-17,4.18875351138e-17
worst_10pct_mean_equity_loss,2,0,0,1,200,0.0602118744455,0.00235691801976,0.0556684454243,0.0649403383524,0.0543706644715,0.0660530844196
worst_10pct_mean_equity_loss,2,0,0,2,200,0.120434439166,0.0046604423924,0.111412207971,0.129796227141,0.108884346053,0.131984532278
worst_10pct_mean_equity_loss,2,0,1,0,200,6.90503210166e-16,6.9028266636e-18,6.76958489265e-16,7.0388417317e-16,6.73395758986e-16,7.07610661345e-16
worst_10pct_mean_equity_loss,2,0,1,1,200,0.0601787707103,0.00235568364657,0.0556366299234,0.0649031142388,0.0543406199148,0.0660169215058
worst_10pct_mean_equity_loss,2,0,1,2,200,0.120367633627,0.00465795485968,0.111353367961,0.129718333198,0.10882370543,0.131911561823
worst_10pct_mean_equity_loss,2,0,2,0,200,9.07163233421e-16,9.46696892031e-18,8.88900064666e-16,9.25988452583e-16,8.83701003162e-16,9.3062546368e-16
worst_10pct_mean_equity_loss,2,0,2,1,200,0.0597943093568,0.00234106848758,0.0552687653359,0.0644769147314,0.0539923796822,0.0655962390315
worst_10pct_mean_equity_loss,2,0,2,2,200,0.11959295065,0.0046286005024,0.110633545309,0.128843599905,0.108121772105,0.131064129195
worst_10pct_mean_equity_loss,2,0.15,0,0,200,3.56381590905e-17,2.52161230755e-18,3.07531777821e-17,4.07451850038e-17,2.93887830672e-17,4.18875351138e-17
worst_10pct_mean_equity_loss,2,0.15,0,1,200,0.0602118744455,0.00235691801976,0.0556684454243,0.0649403383524,0.0543706644715,0.0660530844196
worst_10pct_mean_equity_loss,2,0.15,0,2,200,0.120434439166,0.0046604423924,0.111412207971,0.129796227141,0.108884346053,0.131984532278
worst_10pct_mean_equity_loss,2,0.15,1,0,200,0.00250212255563,2.61634604828e-05,0.00245298038767,0.0025541061884,0.00243728098496,0.00256696412629
worst_10pct_mean_equity_loss,2,0.15,1,1,200,0.0626707178521,0.00235535677755,0.0581267985156,0.0673597468268,0.0568333771444,0.0685080585599
worst_10pct_mean_equity_loss,2,0.15,1,2,200,0.12284936353,0.00465715882952,0.113890037942,0.132200509151,0.111307408156,0.134391318905
worst_10pct_mean_equity_loss,2,0.15,2,0,200,0.0169928099077,7.00582917578e-05,0.0168532092816,0.0171337685993,0.0168191826584,0.017166437157
worst_10pct_mean_equity_loss,2,0.15,2,1,200,0.0766860909571,0.00233853224324,0.0721840864242,0.0813236086524,0.0708904469214,0.0824817349928
worst_10pct_mean_equity_loss,2,0.15,2,2,200,0.136387570771,0.00462183817239,0.12747643821,0.145623894289,0.124933151481,0.147841990061
asset_price_loss,0.5,0,0,0,200,0,0,0,0,0,0
asset_price_loss,0.5,0,0,1,200,0.0461841574212,0.00175296929665,0.0426243471408,0.0495944959145,0.0418637698242,0.0505045450182
asset_price_loss,0.5,0,0,2,200,0.0923838811906,0.00342672463404,0.0853358660551,0.099083652961,0.0839383376003,0.100829424781
asset_price_loss,0.5,0,1,0,200,0,0,0,0,0,0
asset_price_loss,0.5,0,1,1,200,0.0461841574212,0.00175296929665,0.0426243471408,0.0495944959145,0.0418637698242,0.0505045450182
asset_price_loss,0.5,0,1,2,200,0.0923838811906,0.00342672463404,0.0853358660551,0.099083652961,0.0839383376003,0.100829424781
asset_price_loss,0.5,0,2,0,200,0,0,0,0,0,0
asset_price_loss,0.5,0,2,1,200,0.0461841574212,0.00175296929665,0.0426243471408,0.0495944959145,0.0418637698242,0.0505045450182
asset_price_loss,0.5,0,2,2,200,0.0923838811906,0.00342672463404,0.0853358660551,0.099083652961,0.0839383376003,0.100829424781
asset_price_loss,0.5,0.15,0,0,200,0,0,0,0,0,0
asset_price_loss,0.5,0.15,0,1,200,0.0461841574212,0.00175296929665,0.0426243471408,0.0495944959145,0.0418637698242,0.0505045450182
asset_price_loss,0.5,0.15,0,2,200,0.0923838811906,0.00342672463404,0.0853358660551,0.099083652961,0.0839383376003,0.100829424781
asset_price_loss,0.5,0.15,1,0,200,3.68556416393e-05,1.15320530197e-06,3.46315234194e-05,3.92010977938e-05,3.40134390446e-05,3.96978442341e-05
asset_price_loss,0.5,0.15,1,1,200,0.0462208617794,0.00175286753216,0.0426625675099,0.0496311346207,0.0419007249922,0.0505409985665
asset_price_loss,0.5,0.15,1,2,200,0.0924204278756,0.00342661757114,0.085372711527,0.0991201162865,0.0839751481537,0.100865707597
asset_price_loss,0.5,0.15,2,0,200,0.000960892625257,9.87744821941e-06,0.000941943444084,0.00098092875432,0.000936548556676,0.000985236693838
asset_price_loss,0.5,0.15,2,1,200,0.0471373332995,0.0017526567491,0.043563972916,0.050545933726,0.0428177160107,0.0514569505884
asset_price_loss,0.5,0.15,2,2,200,0.0933290659343,0.00342611481603,0.0862972607798,0.10002634591,0.0848850253083,0.10177310656
asset_price_loss,1,0,0,0,200,0,0,0,0,0,0
asset_price_loss,1,0,0,1,200,0.0346366603302,0.00132202281651,0.0319547533906,0.0372055366242,0.0313783882143,0.0378949324462
asset_price_loss,1,0,0,2,200,0.069282069268,0.00259996107106,0.0639862958698,0.0743525837232,0.0628741763371,0.0756899621989
asset_price_loss,1,0,1,0,200,0,0,0,0,0,0
asset_price_loss,1,0,1,1,200,0.0346366603302,0.00132202281651,0.0319547533906,0.0372055366242,0.0313783882143,0.0378949324462
asset_price_loss,1,0,1,2,200,0.069282069268,0.00259996107106,0.0639862958698,0.0743525837232,0.0628741763371,0.0756899621989
asset_price_loss,1,0,2,0,200,0,0,0,0,0,0
asset_price_loss,1,0,2,1,200,0.0346366603302,0.00132202281651,0.0319547533906,0.0372055366242,0.0313783882143,0.0378949324462
